Posted by baf,http://www.mobileread.com/forums/showpost.php?p=3263428&postcount=349
,,
Property types,,
id,name java,name c
0,Invalid,kProperty_Invalid
1,ION,$ion
2,ION_1_0,$ion_1_0
3,IONSymbolTable,$ion_symbol_table
4,Name,name
5,Version,version
6,Imports,imports
7,Symbols,symbols
8,MaxID,max_id
9,IONSharedSymbolTable,$ion_shared_symbol_table
10,Language,language
11,FontFamily,font_family
12,FontStyle,font_style
13,FontWeight,font_weight
14,FontVariant,font_variant
15,FontStretch,font_stretch
16,FontSize,font_size
17,FontScale,font_scale
18,OTFeatures,ot_features
19,TextColor,text_color
20,TextOpacity_DEPRECATED,text_opacity
21,TextBackgroundColor,text_background_color
22,TextBackgroundOpacity_DEPRECATED,text_background_opacity
23,Underline,underline
24,UnderlineColor,underline_color
25,UnderlineOpacity_DEPRECATED,underline_opacity
26,UnderlineWeight,underline_weight
27,Strikethrough,strikethrough
28,StrikethroughColor,strikethrough_color
29,StrikethroughOpacity_DEPRECATED,strikethrough_opacity
30,StrikethroughWeight,strikethrough_weight
31,BaselineShift,baseline_shift
32,Letterspacing,letterspacing
33,Wordspacing,wordspacing
34,TextAlignment,text_alignment
35,TextAlignmentLast,text_alignment_last
36,TextIndent,text_indent
37,TextLeftIndent,left_indent
38,TextRightIndent,right_indent
39,ParagraphSpaceBefore,space_before
40,ParagraphSpaceAfter,space_after
41,TextTransform,text_transform
42,LineHeight,line_height
43,LineHeightFit,line_height_fit
44,BaselineStyle,baseline_style
45,Nobreak,nobreak
46,Margin,margin
47,MarginTop,margin_top
48,MarginLeft,margin_left
49,MarginBottom,margin_bottom
50,MarginRight,margin_right
51,Padding,padding
52,PaddingTop,padding_top
53,PaddingLeft,padding_left
54,PaddingBottom,padding_bottom
55,PaddingRight,padding_right
56,Width,width
57,Height,height
58,Top,top
59,Left,left
60,Bottom,bottom
61,Right,right
62,MinHeight,min_height
63,MinWidth,min_width
64,MaxHeight,max_height
65,MaxWidth,max_width
66,FixedWidth,fixed_width
67,FixedHeight,fixed_height
68,Visibility,visibility
69,Ignore,ignore
70,FillColor,fill_color
71,FillGradient,fill_gradient
72,FillOpacity,fill_opacity
73,FillBounds,fill_bounds
74,FillRule,fill_rule
75,Stroke,stroke_color
76,StrokeWidth,stroke_width
77,StrokeLineCap,stroke_linecap
78,BorderOpacity_DEPRECATED,border_opacity
79,BorderOpacityTop_DEPRECATED,border_opacity_top
80,BorderOpacityLeft_DEPRECATED,border_opacity_left
81,BorderOpacityBottom_DEPRECATED,border_opacity_bottom
82,BorderOpacityRight_DEPRECATED,border_opacity_right
83,BorderColor,border_color
84,BorderColorTop,border_color_top
85,BorderColorLeft,border_color_left
86,BorderColorBottom,border_color_bottom
87,BorderColorRight,border_color_right
88,BorderStyle,border_style
89,BorderStyleTop,border_style_top
90,BorderStyleLeft,border_style_left
91,BorderStyleBottom,border_style_bottom
92,BorderStyleRight,border_style_right
93,BorderWeight,border_weight
94,BorderWeightTop,border_weight_top
95,BorderWeightLeft,border_weight_left
96,BorderWeightBottom,border_weight_bottom
97,BorderWeightRight,border_weight_right
98,Transform,transform
99,DrawSpanningBorders,draw_spanning_borders
100,ListStyle,list_style
101,ListIndentStyle,list_indent_style
102,ListIndent,list_indent
103,ListReplacer,list_replacer
104,ListStartOffset,list_start_offset
105,OutlineColor,outline_color
106,OutlineOffset,outline_offset
107,OutlineStyle,outline_style
108,OutlineWeight,outline_weight
109,GradientType,gradient_type
110,GradientStops,gradient_stops
111,GradientStop,gradient_stop
112,ColumnCount,column_count
113,ColumnGap,column_gap
114,ColumnMinWidth,column_min_width
115,ColumnRuleStyle,column_rule_style
116,ColumnRuleColor,column_rule_color
117,ColumnRuleWeight,column_rule_weight
118,ColumnSpan,column_span
119,ColumnBalance,column_balance
120,FootnoteLineStyle,footnote_line_style
121,FootnoteLineColor,footnote_line_color
122,FootnoteLineWeight,footnote_line_weight
123,FootnoteLineLength,footnote_line_length
124,FootnoteSpacing,footnote_spacing
125,DropcapLines,dropcap_lines
126,DropcapChars,dropcap_chars
127,Hyphens,hyphens
128,MinHyphenWordLength,min_hyphen_word_length
129,MinCharsPerLine,min_chars_per_line
130,KeepTogether,keep_together
131,KeepFirst,first
132,KeepLast,last
133,BreakAfter,break_after
134,BreakBefore,break_before
135,BreakInside,break_inside
136,MaxAutoGrow,max_auto_grow
137,MinAutoShrink,min_auto_shrink
138,ScaleWithImage,scale_with_image
139,WrapRule,wrap_rule
140,Float,float
141,PageTemplates,page_templates
142,StyleEvents,style_events
143,Offset,offset
144,Length,length
145,Content,content
146,ContentList,content_list
147,KnockoutRegion,knockout_region
148,TableColumnSpan,table_column_span
149,TableRowSpan,table_row_span
150,TableBorderCollapse,table_border_collapse
151,Header,header
152,ColumnFormat,column_format
153,Title,title
154,Description,description
155,UniqueID,id
156,Layout,layout
157,Style,style
158,ParentStyle,parent_style
159,Type,type
160,Embed,embed
161,Format,format
162,MIME,mime
163,Target,target
164,ExternalResource,external_resource
165,Location,location
166,SearchPath,search_path
167,ReferredResources,referred_resources
168,Manifest,manifest
169,ReadingOrders,reading_orders
170,Sections,sections
171,Condition,condition
172,ConditionalStyling,conditional_styling
173,StyleName,style_name
174,SectionName,section_name
175,ResourceName,resource_name
176,StoryName,story_name
177,GradientName,gradient_name
178,ReadingOrderName,reading_order_name
179,LinkTo,link_to
180,AnchorName,anchor_name
181,ContainsIds,contains
182,Locations,locations
183,Position,position
184,PositionID,pid
185,ElementID,eid
186,URI,uri
187,LinkConfirm,link_confirm
188,LinkUseExternalApp,link_use_external_app
189,UpImage,up_image
190,DownImage,down_image
191,ParagraphMark,paragraph_mark
192,Direction,direction
193,ParentImageScale,PRIVATE_parent_image_scale
194,ViewWidth,PRIVATE_view_width
195,ViewHeight,PRIVATE_view_height
196,IsStorylineContent,PRIVATE_is_storyline_content
197,PaperColor,PRIVATE_paper_color
198,InkColor,PRIVATE_ink_color
199,ContentTitle,section_title
200,ContentKicker,section_kicker
201,ContentDescription,section_description
202,ContentAuthor,section_author
203,ContentTags,section_tags
204,ContentDateCreated,section_date_created
205,ContentIsAdvertisement,is_advertisement
206,ContentSmoothScrolling,smooth_scrolling
207,ContentHideFromTOC,hide_from_toc
208,ContentLayout,section_layout
209,ContentHasAudio,has_audio
210,ContentHasVideo,has_video
211,ContentHasSlideShow,has_slideshow
212,TOC,toc
213,Scrubbers,scrubbers
214,Thumbnails,thumbnails
215,Orientation,orientation
216,BindingDirection,binding_direction
217,SupportPortrait,support_portrait
218,SupportLandscape,support_landscape
219,IssueDate,issue_date
220,BindingDirectionLeft,binding_direction_left
221,BindingDirectionRight,binding_direction_right
222,Author,author
223,ISBN,ISBN
224,ASIN,ASIN
225,isTTSEnabled,is_TTS_enabled
226,DateCreated,date_created
227,ISBN_10,ISBN-10
228,ISBN_13,ISBN-13
229,MHID,MHID
230,WideDimension,target_WideDimension
231,NarrowDimension,target_NarrowDimension
232,Publisher,publisher
233,CoverPage,cover_page
234,Illustrator,illustrator
235,NavigationType,nav_type
236,Landmarks,landmarks
237,PageList,page_list
238,LandmarkType,landmark_type
239,NavContainerName,nav_container_name
240,NavUnitName,nav_unit_name
241,Representation,representation
242,Designation,designation
243,Enumeration,enumeration
244,Label,label
245,Icon,icon
246,TargetPosition,target_position
247,Entries,entries
248,EntrySet,entry_set
249,Path,path
250,ShapeList,shape_list
251,CDEContentType,cde_content_type
252,ContainerList,container_list
253,EntityDependencies,entity_dependencies
254,MandatoryDependencies,mandatory_dependencies
255,OptionalDependencies,optional_dependencies
256,AmazonDigitalBook,AmazonDigitalBook
257,Inherit,inherit
258,Metadata,metadata
259,Storyline,storyline
260,Section,section
261,StyleGroup,style_group
262,Font,font
263,Gradient,gradient
264,PositionMap,position_map
265,PositionIDMap,position_id_map
266,Anchor,anchor
267,SectionMetadata,section_metadata
268,HyphenDictionary,hyphen_dictionary
269,Text,text
